Identification Number,County,State,Land area,Total population,Percent of population aged 18-34,Percent of population 65 or older,Number of active physicians,Number of hospital beds,Total serious crimes,Percent high school graduates,Percent bachelor degrees,Percent below poverty level,Percent unemployment,Per capita income,Total personal income,Geographic region
118,Douglas                ,NE    ,331,416444,29,11.4,1603,2889,26006,84.5,24.9,8.1,2.9,19629,8174,2
120,Sedgwick               ,KS    ,1000,403662,28.5,11.4,930,1840,34071,82.4,22.2,8.3,4.5,19276,7781,2
123,St._Louis_City         ,MO    ,62,396685,28.7,16.6,4189,7814,64103,62.8,15.3,20.6,9,18113,7185,2
136,Stark                  ,OH    ,576,367585,24.9,14.4,595,1537,17466,76,14.3,8.9,6.9,16898,6211,2
137,Dane                   ,WI    ,1202,367085,35.6,9.3,1603,1382,20344,88.9,34.2,4.8,3.1,20087,7374,2
139,Will                   ,IL    ,837,357313,27.4,8.6,298,746,16432,80.4,18,4.5,7.4,18787,6713,2
141,Johnson                ,KS    ,477,355054,27.5,9.4,1173,925,15238,92.9,40.5,2.5,3.3,26156,9287,2
154,Kane                   ,IL    ,521,317471,27.8,9.3,473,1263,16721,77.7,21.4,5,7.5,21684,6884,2
158,Waukesha               ,WI    ,556,304715,24.4,9.8,687,677,8935,88,27.1,2.2,4.1,23004,7010,2
159,Allen                  ,IN    ,657,300836,27.4,11.4,552,1268,19842,81.2,19,5.6,5.9,19123,5753,2
162,Butler                 ,OH    ,467,291479,29.9,10.2,308,878,13850,76,18.7,7.6,6.6,16750,4882,2
168,Washtenaw              ,MI    ,710,282937,39.5,7.5,2188,1730,19367,87.2,41.9,6.4,6,22782,6446,2
170,Ingham                 ,MI    ,559,281912,37.4,8.7,729,1438,17337,83.9,29.2,11,6.9,17458,4922,2
175,Dakota                 ,MN    ,570,275227,30.6,6.4,201,283,10953,90.7,27.6,3.3,4.7,21123,5814,2
178,Lorain                 ,OH    ,493,271126,26.4,11.6,291,941,9864,75.3,12.3,9.1,9.5,16006,4340,2
182,Mahoning               ,OH    ,415,264806,23.5,17.1,601,1473,13181,74.6,14,12.8,6.7,16256,4305,2
185,St._Clair              ,IL    ,664,262852,26.8,12.7,329,1088,14563,72.6,14.7,13.9,8.4,16190,4256,2
193,Winnebago              ,IL    ,514,252913,26.5,12.7,521,910,19674,76.3,16.7,7.7,7.9,18376,4648,2
195,Madison                ,IL    ,725,249238,26.2,13.9,275,1120,10666,75.8,14.4,8.5,7.9,17980,4481,2
198,St._Joseph             ,IN    ,457,247052,28.2,14.1,417,927,10637,76.1,19.2,7.1,5.7,17211,4252,2
210,Trumbull               ,OH    ,616,227813,23.9,14.4,225,925,7315,75.2,11.4,9.4,7.9,16144,3678,2
216,Kalamazoo              ,MI    ,562,223411,32.4,10.6,614,793,15306,83.4,27.1,8.9,5.9,18288,4086,2
224,Lake                   ,OH    ,228,215499,26.4,12,233,359,5481,81.1,17.5,3.6,5.7,19692,4244,2
225,Lancaster              ,NE    ,839,213641,33.9,10.8,389,778,16414,88.1,27.6,6,2.2,17816,3806,2
226,St._Charles            ,MO    ,561,212907,29,6.9,172,613,7785,83.3,21.2,3.5,6.4,18753,3993,2
228,Saginaw                ,MI    ,809,211946,25.5,12,335,1193,16190,74.8,13,14.7,8.8,16904,3583,2
231,Greene                 ,MO    ,675,207949,31,13.3,490,1785,13551,78.9,20.7,9.2,4.8,16630,3458,2
235,St._Louis              ,MN    ,6226,198213,24.3,16.9,406,1391,7518,80.3,17.3,9.7,6.5,15419,3056,2
238,Brown                  ,WI    ,529,194594,29.6,10.8,289,632,8101,82.6,17.7,6.7,4.6,18490,3598,2
247,Ottawa                 ,MI    ,566,187768,28.9,9.8,163,313,6140,79.8,18.7,3.8,6.5,18360,3447,2
252,McHenry                ,IL    ,604,183241,26.3,9.4,160,371,4854,84.5,21,2.5,7.1,21855,4005,2
253,Peoria                 ,IL    ,620,182827,26,14.2,581,1219,12483,77.9,19.5,11.3,7.2,18342,3353,2
263,Sangamon               ,IL    ,868,178386,25.8,13.8,600,1330,11929,81.8,22.4,7.2,4.8,19601,3497,2
265,Racine                 ,WI    ,333,175034,26,12,234,532,11110,76.4,16.5,7.9,6.5,18426,3225,2
269,Champaign              ,IL    ,997,173025,41.6,8.8,382,805,11508,87.5,34.1,8,4.5,16957,2934,2
271,Jefferson              ,MO    ,657,171380,28.5,8.3,61,230,3128,71.6,9,6,8.7,15896,2724,2
278,Vanderburgh            ,IN    ,235,165058,27,15.7,411,1376,8405,75.2,16,9.1,5.7,18093,2986,2
282,Wyandotte              ,KS    ,151,161993,27.4,13,494,1019,18902,69.9,10.3,13.9,7.4,14134,2290,2
283,Berrien                ,MI    ,571,161378,25.2,13.7,199,688,12229,74.7,16.7,11.6,9.1,16232,2619,2
286,Shawnee                ,KS    ,550,160976,26.2,13.1,451,661,13845,84.4,22.3,7.4,4.7,19558,3148,2
287,Muskegon               ,MI    ,509,158983,25.8,13,182,660,12181,74.2,11.1,12.4,12,14767,2348,2
289,Elkhart                ,IN    ,464,156198,26.8,11.2,164,478,7573,72.8,14.2,5.3,6.4,16770,2619,2
291,Clay                   ,MO    ,397,153411,28.3,10.4,108,693,11085,84.7,20,4.2,5.7,18395,2822,2
300,Clermont               ,OH    ,452,150187,28.1,8.7,82,151,5114,72.8,14.5,7.4,6,16231,2438,2
304,Jackson                ,MI    ,707,149756,27.1,12.3,127,573,8630,77.7,12.9,9.4,9.9,15750,2359,2
306,Rock_Island            ,IL    ,427,148723,24.9,15,209,769,7154,77.4,15,10.2,7.5,17818,2650,2
307,Clark                  ,OH    ,400,147548,25.3,13.8,173,463,10131,73.4,12.2,10.4,6.5,16676,2461,2
312,Washington             ,MN    ,392,145896,26.5,6.6,113,92,5365,90,26.2,3.6,4.6,20682,3017,2
313,St._Clair              ,MI    ,725,145607,25.9,12.3,143,431,6568,74.8,10.7,9.2,11.8,17480,2545,2
321,Portage                ,OH    ,492,142585,33.6,9.4,101,285,2769,79.3,17.6,7.6,6,16031,2286,2
326,Outagamie              ,WI    ,640,140510,28.2,11.1,228,511,4860,81.5,16.7,4.6,4.9,17182,2414,2
327,Winnebago              ,WI    ,439,140320,30.3,12.8,242,528,6170,80.6,18.2,5.3,4.8,17645,2476,2
329,Rock                   ,WI    ,721,139510,26.2,12.6,171,491,7643,78.2,13.3,7.8,9.7,16742,2336,2
332,Greene                 ,OH    ,415,136731,28.5,9.8,134,210,5221,82.4,26,7.1,5.2,18161,2483,2
333,Calhoun                ,MI    ,709,135982,25.1,13.3,172,566,9810,76.8,13.8,11,8.5,15944,2168,2
336,Monroe                 ,MI    ,551,133600,26.1,10.4,83,182,6726,74.1,10.5,6.9,11.1,17278,2308,2
343,Madison                ,IN    ,452,130669,25.5,14,140,655,5373,73.5,11.7,10.3,7.5,16018,2093,2
344,Tippecanoe             ,IN    ,500,130598,42.3,9.5,232,635,6141,85.2,30.7,6.8,3.2,15847,2070,2
346,McLean                 ,IL    ,1184,129180,37,10.5,171,588,5949,84.7,29,5.9,4.6,18961,2449,2
347,Porter                 ,IN    ,418,128932,26.4,9.8,170,379,4014,82.4,18.5,4.6,4.5,17566,2265,2
349,Licking                ,OH    ,687,128300,26.2,11.8,101,192,1380,76.4,13,8.3,6.3,16412,2106,2
350,Kenosha                ,WI    ,273,128181,27.5,12.6,140,334,6616,75.1,12.7,7.6,6.4,17338,2222,2
354,Richland               ,OH    ,497,126137,25,12.9,144,463,7977,73.5,11.6,8.4,9.4,16191,2042,2
356,Minnehaha              ,SD    ,809,123809,29.7,11.6,376,912,5625,83.1,21.3,5.4,2.5,18526,2294,2
358,Tazewell               ,IL    ,649,123692,23.9,13.2,98,297,3140,78.6,13.6,7.1,7.4,18008,2227,2
362,Medina                 ,OH    ,422,122354,24.5,9.7,125,226,563,82.4,18,4.1,5.8,18892,2312,2
371,Delaware               ,IN    ,393,119659,32.9,12.7,217,494,1064,74.5,16.5,10.3,6.1,15697,1878,2
375,Stearns                ,MN    ,1345,118791,33.6,10.5,199,661,4101,78.3,17.5,7.3,5.4,14757,1753,2
379,Macon                  ,IL    ,581,117206,24.1,14.5,171,725,6103,76.2,14.8,9.8,8.9,18021,2112,2
383,Livingston             ,MI    ,568,115645,25.3,8.2,68,93,3760,85.6,19.6,3,8.1,21153,2446,2
384,Marathon               ,WI    ,1545,115400,25.9,12.7,172,254,3655,75.9,13.5,5.5,5.9,16305,1882,2
390,Wood                   ,OH    ,617,113269,34.5,10.2,128,124,3759,83.8,21.9,5,6.6,17522,1985,2
392,Boone                  ,MO    ,685,112379,40.9,8.4,746,1023,5456,84.8,36.5,9.3,3.2,17175,1930,2
394,Bay                    ,MI    ,444,111723,25.4,13.4,101,415,4849,74,11,10.2,9.2,16499,1843,2
403,Allen                  ,OH    ,405,109755,26.2,13.4,168,560,4734,76.1,11.4,10.4,7.3,16542,1816,2
405,Monroe                 ,IN    ,394,108978,45.8,8.6,172,285,1657,82.1,32.9,9.5,3.7,14266,1555,2
406,Hamilton               ,IN    ,398,108936,25.1,8.2,257,122,1699,88.7,36.2,2.6,2.8,25681,2798,2
407,Columbiana             ,OH    ,533,108276,23.4,14.9,80,485,898,71.8,8.5,13,6.7,12597,1364,2
413,La_Porte               ,IN    ,598,107066,26,13.1,149,519,6021,73.9,11.7,7.8,5.8,16655,1783,2
414,La_Salle               ,IL    ,1135,106913,23.8,17.2,104,504,2982,73.1,10.5,8.7,9.6,16119,1723,2
418,Olmsted                ,MN    ,653,106470,29.3,10,1814,1437,4310,88,29.5,4.5,3.3,20515,2184,2
419,Vigo                   ,IN    ,403,106107,30.2,15.1,179,576,3435,76,18.1,10.7,5,15036,1595,2
426,Sheboygan              ,WI    ,514,103877,25.4,14.6,114,421,4433,77.4,13.8,4.5,5.6,18061,1876,2
427,Fairfield              ,OH    ,506,103461,25.2,11.3,86,195,625,78.8,15.5,6.8,6.3,16342,1691,2
429,Cass                   ,ND    ,1766,102874,34.4,9.8,343,643,3401,87.1,26.5,7.3,2.5,16275,1674,2
431,Sarpy                  ,NE    ,241,102583,30.4,4.8,39,160,2689,91,25.4,3.5,2.6,16137,1655,2
434,Wayne                  ,OH    ,555,101461,26.3,11.6,84,155,2377,73.6,13.9,8.4,5.9,16464,1670,2
