Identification Number,County,State,Land area,Total population,Percent of population aged 18-34,Percent of population 65 or older,Number of active physicians,Number of hospital beds,Total serious crimes,Percent high school graduates,Percent bachelor degrees,Percent below poverty level,Percent unemployment,Per capita income,Total personal income,Geographic region
124,Burlington             ,NJ    ,805,395066,28.8,10.7,719,1150,13034,81.9,23.6,3.1,5.6,23008,9090,1
131,Chester                ,PA    ,756,376396,27.1,10.9,594,920,9491,84.9,34.7,3,4.6,24732,9309,1
134,Westmoreland           ,PA    ,1023,370321,23.3,17.1,522,1306,7445,77.7,15.4,8.6,6.9,17069,6321,1
146,York                   ,PA    ,905,339574,26.6,13.1,460,951,11292,72.8,13.9,4.3,6.2,19502,6622,1
147,Berks                  ,PA    ,859,336523,26.1,15.6,567,1041,12827,70,15.1,5.2,6.7,19655,6614,1
148,Hillsborough           ,NH    ,877,336073,30,10.3,587,1050,12843,82.2,26.4,4,7.5,22581,7589,1
151,Luzerne                ,PA    ,891,328149,24.1,19.7,594,1495,4982,72,13.1,8.3,8.8,16405,5383,1
152,Mercer                 ,NJ    ,226,325824,29.2,13,994,1724,20153,77.1,29.5,5.3,5.5,26026,8480,1
157,Orange                 ,NY    ,816,307647,28,10.4,479,986,10975,77.2,19.5,6.4,6.7,19788,6088,1
161,Albany                 ,NY    ,524,292594,30.4,14.7,1257,1246,15077,80.9,28.3,6,4.5,21003,6145,1
164,Lehigh                 ,PA    ,347,291130,26.3,15.4,637,1305,12254,74.6,19.6,4.9,6.6,19785,5760,1
174,Erie                   ,PA    ,802,275572,27.5,13.8,468,1417,9936,77.5,16.2,9.5,7.1,16331,4500,1
180,Rockland               ,NY    ,174,265475,25.5,10.1,931,745,7194,83.3,33,4.1,5.3,26757,7103,1
189,Dutchess               ,NY    ,802,259462,29,11.4,535,741,9087,79.8,24.8,3.6,5.1,22173,5753,1
190,New_London             ,CT    ,666,254957,31.2,11.9,486,515,7807,80.9,21.8,4.7,6.8,20259,5165,1
194,Oneida                 ,NY    ,1213,250836,27.7,15.5,437,905,9234,75.1,16.7,8.8,6.7,16477,4133,1
197,Northampton            ,PA    ,374,247105,26.9,15,459,933,6452,73.1,16.7,4.9,6.8,18336,4531,1
199,Rockingham             ,NH    ,695,245845,29,9.2,343,514,7295,86.2,25.9,3.2,8,21770,5352,1
200,Cumberland             ,ME    ,836,243135,29.1,13,732,1104,13816,85,27.6,5.7,5.7,21362,5194,1
201,Somerset               ,NJ    ,305,240279,28.6,10.8,783,374,8308,86.3,38.3,1.4,4.1,33180,7972,1
205,Dauphin                ,PA    ,525,237813,26.8,14.3,824,1425,11563,77.6,18.6,7.2,5.5,18348,4363,1
207,Gloucester             ,NJ    ,325,230082,28,10.8,199,339,9746,77.5,18.1,4.7,7.1,18523,4262,1
215,Atlantic               ,NJ    ,561,224327,29,14.5,379,990,25167,72.9,16.4,6.4,8.3,24035,5392,1
218,Niagara                ,NY    ,523,220756,25.8,15.1,239,893,9437,75.8,13.6,8.6,8.3,16647,3675,1
219,Lackawanna             ,PA    ,459,219039,24.3,19.8,429,1136,4368,73.3,14.8,7.8,7.9,16963,3716,1
227,Broome                 ,NY    ,707,212160,28.6,15,460,816,7435,78.9,20.7,6.5,5.9,18058,3831,1
234,Washington             ,PA    ,857,204584,23.7,17.5,236,687,4526,73.2,13.6,9.7,7,16625,3401,1
236,Cumberland             ,PA    ,550,195257,28.6,13.4,375,733,5247,81,22.9,2.8,4.6,19254,3759,1
249,Barnstable             ,MA    ,396,186605,22.1,22,336,384,7441,88.4,28.1,5.8,11.1,23267,4342,1
251,Beaver                 ,PA    ,435,186093,23.6,16.9,197,616,4088,74.9,11.9,10.8,9.7,15162,2822,1
260,Saratoga               ,NY    ,812,181276,28.4,10.3,215,221,5281,83,25.2,4.4,5.9,18857,3418,1
268,Litchfield             ,CT    ,920,174092,25.4,14.1,278,411,3593,80.9,25,2.4,7,25161,4380,1
277,Ulster                 ,NY    ,1127,165304,27.8,13,258,413,4701,76.6,21.6,5.6,5.9,18824,3112,1
280,York                   ,ME    ,991,164587,26.4,12.6,172,404,6027,79.5,19,4.7,6.9,17908,2947,1
281,Cambria                ,PA    ,688,163029,23,18.7,301,892,3187,71.2,10.8,11.2,9.2,14473,2360,1
285,Kent                   ,RI    ,170,161135,26.2,15.1,264,359,7302,76.8,20.5,3.7,8.6,20086,3237,1
290,Rensselaer             ,NY    ,654,154429,29.8,13.2,213,616,5297,77.7,19.5,6.6,6.3,17774,2745,1
292,Schuylkill             ,PA    ,779,152585,22.9,20,147,634,2119,68.4,8.1,7.7,9.7,15853,2419,1
295,Butler                 ,PA    ,789,152013,27,13.5,127,261,3420,78.6,15.6,7.1,6.8,17251,2622,1
305,Schenectady            ,NY    ,206,149285,26.1,16.5,403,721,6364,80.7,23,5.7,5.6,20679,3087,1
309,Penobscot              ,ME    ,3396,146601,30,11.5,268,598,4749,79.1,17.7,9.5,8,15521,2275,1
310,Hampshire              ,MA    ,529,146568,38.2,11.6,348,236,2547,83,31.9,5.7,7.7,17853,2617,1
314,Fayette                ,PA    ,790,145351,22.9,18,124,409,3612,67.8,9.3,17.6,9.4,14051,2042,1
320,Middlesex              ,CT    ,369,143196,28.4,13.1,340,235,3409,82.6,28.2,2.6,5.8,24132,3456,1
324,Chautauqua             ,NY    ,1062,141895,25.7,15.7,164,653,5178,74.4,14.2,9.9,7.7,15197,2156,1
330,Berkshire              ,MA    ,931,139352,26,16.9,375,598,3862,77.9,20.9,6.3,10.1,20068,2797,1
331,Cumberland             ,NJ    ,489,138053,26.7,13.5,181,534,9071,63.4,10.8,10.2,10.7,16819,2322,1
339,Chittenden             ,VT    ,539,131761,35.8,8.1,696,573,4739,86.7,34,5,4.4,19940,2627,1
342,Sussex                 ,NJ    ,521,130943,26.3,8.9,133,261,3174,85.1,24.9,2.5,6.8,24405,3196,1
345,Blair                  ,PA    ,526,130542,23.7,17,213,654,3196,75,10.5,11,9,14779,1929,1
348,Tolland                ,CT    ,410,128699,33.9,9,164,173,1799,84.7,29.2,2.7,5.9,21944,2824,1
357,Centre                 ,PA    ,1108,123786,45,9,178,270,4136,83.6,32.3,6.2,6.1,15476,1916,1
364,Oswego                 ,NY    ,953,121771,29.8,10.7,79,269,3582,74.7,12.9,8.1,10,14834,1806,1
365,Franklin               ,PA    ,772,121082,25.5,14.4,136,296,3155,69.4,12.4,5.7,6.7,16281,1971,1
366,Mercer                 ,PA    ,672,121003,24.5,17.2,150,653,2777,75.1,13.6,10.1,7.2,15177,1836,1
370,Merrimack              ,NH    ,935,120005,27.7,12.1,237,368,3325,83.2,25.4,3.6,7.1,20600,2472,1
376,Lycoming               ,PA    ,1235,118710,25.4,15.1,232,668,3826,74.5,12.3,8.4,8,15778,1873,1
382,Kennebec               ,ME    ,868,115904,26.1,13.4,241,497,4184,78.9,18.1,7.3,6.8,17131,1986,1
387,Lebanon                ,PA    ,362,113744,25.3,15,162,196,2919,70,11.8,5.2,5.9,16500,1877,1
393,St._Lawrence           ,NY    ,2686,111974,31.2,12.1,132,378,3851,73.1,15.1,12.8,9.8,12704,1423,1
397,Kent                   ,DE    ,591,110993,29.7,10.3,123,193,5846,73.1,15,8.7,7.6,14946,1659,1
399,Jefferson              ,NY    ,1272,110943,32.7,10.9,124,336,3064,76.4,13.6,9.5,11,15205,1687,1
402,Washington             ,RI    ,333,110006,31,12.3,162,241,3838,82.8,29.1,3.7,6.7,19449,2140,1
410,Hunterdon              ,NJ    ,430,107776,25.6,9.5,184,182,2068,85.9,34.6,1.8,4.1,30255,3261,1
421,Androscoggin           ,ME    ,470,105259,27.9,13.4,198,527,4020,71.8,12.6,8.7,9.7,16154,1700,1
425,Strafford              ,NH    ,369,104233,34.8,10.7,139,237,3651,79.8,21.7,5.1,6.5,17182,1791,1
432,Windham                ,CT    ,513,102525,28.5,12.5,123,254,1397,71.1,16.8,6,9.2,18070,1853,1
