Identification Number,County,State,Land area,Total population,Percent of population aged 18-34,Percent of population 65 or older,Number of active physicians,Number of hospital beds,Total serious crimes,Percent high school graduates,Percent bachelor degrees,Percent below poverty level,Percent unemployment,Per capita income,Total personal income,Geographic region
262,Merced                 ,CA    ,1929,178403,28.2,9.2,185,337,8587,63.1,12,15.4,14.6,13961,2491,4
270,Placer                 ,CA    ,1404,172796,23.5,12,329,322,8904,85.1,22.7,5.3,6.8,20168,3485,4
284,Thurston               ,WA    ,727,161238,25.3,11.7,283,500,7882,86.5,24.7,7.1,5.9,17312,2791,4
288,Weber                  ,UT    ,576,158330,26,11.1,266,573,9191,82.5,18,7.8,5.7,15301,2423,4
308,Shasta                 ,CA    ,3786,147036,22.8,14.1,267,468,7336,78.4,13.7,11,10.3,16277,2393,4
311,Jackson                ,OR    ,2785,146389,22.1,16.2,263,522,7170,80.1,17.6,9.7,7.6,15582,2281,4
325,Yolo                   ,CA    ,1012,141092,36.5,9.6,339,168,10650,79.1,30.3,9.8,7.2,19727,2783,4
334,Dona_Ana               ,NM    ,3807,135510,31.4,8.8,171,240,8850,70.4,21.9,20.7,7.4,11379,1542,4
338,Weld                   ,CO    ,3993,131821,29.6,10.2,172,281,7901,74.9,18.4,10.6,4.5,15874,2093,4
351,Whatcom                ,WA    ,2120,127780,28.8,12.5,203,214,7070,83.2,22,7.4,6.3,16002,2045,4
355,El_Dorado              ,CA    ,1712,125995,23,11.8,147,163,5152,85.9,20.8,5.8,6.1,19250,2425,4
360,Pueblo                 ,CO    ,2389,123051,24.1,15.2,259,555,8640,73.9,14,16.7,7,14197,1747,4
368,Hawaii                 ,HI    ,4028,120317,22.5,12.6,182,391,7226,77.7,18.5,10.9,4,16728,2013,4
373,Humboldt               ,CA    ,3573,119118,27.5,12.3,207,311,5737,80.5,20,12.8,8.8,16138,1922,4
380,Pinal                  ,AZ    ,5370,116379,24.4,13.7,61,309,6275,65.5,8.2,18.7,7.9,11396,1326,4
388,Yellowstone            ,MT    ,2635,113419,25.6,12.4,262,554,3879,83.7,21.5,9,5.3,17272,1959,4
391,Benton                 ,WA    ,1703,112560,25.1,10.1,142,278,6249,83.9,23.3,8.9,6.8,17332,1951,4
400,Napa                   ,CA    ,754,110765,24.5,16.5,345,1019,5056,80.7,22.3,4.6,5.9,22668,2511,4
404,Imperial               ,CA    ,4175,109303,25.5,10.2,82,221,8042,53.2,9.7,20.8,21.3,14523,1587,4
412,Yavapai                ,AZ    ,8124,107714,18.3,23.8,114,159,3952,78.9,17.7,9.8,5.4,13681,1474,4
415,Yuma                   ,AZ    ,5514,106895,27.4,13.8,118,197,5414,64.9,12.7,15.4,17.8,11490,1228,4
433,Kings                  ,CA    ,1390,101469,33.7,7.7,82,180,4449,65.6,9,15,12.8,13907,1411,4
439,Maui                   ,HI    ,1159,100374,26.2,11.3,192,182,7130,77,17.8,5.7,3.2,18504,1857,4
